% Model,Smooth_Finite_PML_TM30_300GHz_COMSOL61_with_S11.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 22 2026, 14:43"
% Dimension,2
% Nodes,1338
% Expressions,13
% Description,"Observation angle from upward normal, Re normalized angular field, Im normalized angular field, Normalized angular field magnitude, Normalized angular field magnitude, dB, Normalized angular field phase, Normalized angular intensity, Re scattered E at 1 m, Im scattered E at 1 m, Scattered E magnitude at 1 m, Scattered E phase at 1 m, 2D scattering width, 2D scattering width, dB relative to 1 m"
% Length unit,mm
% X,Y,theta_obs (deg) @ freq=300,real(Sang_complex) (1) @ freq=300,imag(Sang_complex) (1) @ freq=300,Sang_magnitude (1) @ freq=300,Sang_dB @ freq=300,Sang_phase (deg) @ freq=300,Sang_power (1) @ freq=300,real(Escat_far_complex) (V/m) @ freq=300,imag(Escat_far_complex) (V/m) @ freq=300,Escat_far_magnitude (V/m) @ freq=300,Escat_far_phase (deg) @ freq=300,sigma2D (m) @ freq=300,sigma2D_dB @ freq=300
-18.56065255060069,1,-74.24261020240277,-3.6632882496397503E-4,-0.0013940353925926514,0.0014414146222980736,-56.824266633013735,-104.72196161807474,2.0776979039479655E-6,-5.807573625897071E-6,-3.6833495728253596E-4,3.6908599249277417E-4,-90.94715433910321,8.559946482884793E-7,-60.67602104062214
-18.558169960533654,1,-74.23267984213463,-3.6092005068029116E-4,-0.0013933687464852643,0.001439407006279432,-56.83638053789666,-104.52023397811513,2.071917442651656E-6,3.6895004567888375E-6,-3.708470137534028E-4,3.7156019421620193E-4,-89.49730778873342,8.678959508508701E-7,-60.619763074748725
-18.500700512231404,1,-74.00280204892563,-2.3823589447401149E-4,-0.0013713390472427662,0.0013919273574553937,-57.1277213355365,-99.85371446423167,1.937485553519626E-6,2.289776055311554E-4,-4.0852469995834585E-4,4.6875200044235174E-4,-60.798389108055474,1.381448629246595E-6,-58.602251006772946
-18.49821792216437,1,-73.99287168865749,-2.3306495022980806E-4,-0.0013700967040426702,0.0013898296011434054,-57.1408307401083,-99.65219284458026,1.9316535271023086E-6,2.3883673492443072E-4,-4.0918385643898205E-4,4.7419004491423025E-4,-59.793190436074994,1.4141351047996872E-6,-58.502872562382024
-18.440748473862104,1,-73.76299389544843,-1.1653263007946502E-4,-0.0013350936400795788,0.0013402163776630432,-57.45656364483708,-94.98659910591869,1.7962059051708993E-6,4.671038952528493E-4,-4.0228834426170285E-4,6.167100223405527E-4,-40.78000470883887,2.3911275392525762E-6,-56.21940609028304
-18.43826588379507,1,-73.75306353518029,-1.1165590737784727E-4,-0.0013333088790818744,0.0013380251883959684,-57.47078709924796,-94.78492925077448,1.790341072957742E-6,4.768356695617495E-4,-4.0096787495300893E-4,6.232654297723504E-4,-40.099783701539195,2.4424596652706995E-6,-56.12753336035177
-18.38079643549278,1,-73.52318574197113,-2.545057691433265E-6,-0.0012861923042778874,0.001286239865050967,-57.81363395092541,-90.11143612744377,1.6544412538317883E-6,6.962782672576301E-4,-3.475705376496426E-4,7.783843566442677E-4,-26.554055821440066,3.8084420358514993E-6,-54.19623327672908
-18.378313845425744,1,-73.51325538170299,1.984497672475716E-6,-0.0012839062383667378,0.0012839552653017435,-57.82908818051681,-89.9092101592362,1.6485733363349944E-6,7.053563846654848E-4,-3.442359721897005E-4,7.850622101075186E-4,-26.03835205937182,3.87414154889953E-6,-54.12188372186897
-18.320844397123416,1,-73.28337758849366,1.0249654745342606E-4,-0.0012257135121389838,0.0012300350528286065,-58.201736870075685,-85.21781682925308,1.5130168259044922E-6,9.035511174938678E-4,-2.446865270904779E-4,9.362436317643413E-4,-15.169896836289091,5.508973890596796E-6,-52.59161435839109
-18.31836180705639,1,-73.27344722822558,1.0663054073400396E-4,-0.001222974702062131,0.0012276602686924845,-58.218537610492895,-85.01457864117134,1.507184482149989E-6,9.114341304460436E-4,-2.3940739016616304E-4,9.425192087323289E-4,-14.733849423800358,5.583050017723824E-6,-52.53345789997987
-18.26089235875407,1,-73.04356943501628,1.9748413749561997E-4,-0.0011549096768425084,0.0011717145596706689,-58.62366591408951,-80.29421452841174,1.3729478794149065E-6,0.001075885490998784,-9.656381347582621E-5,0.001080350983403405,-5.140875571982126,7.334627297051425E-6,-51.34761595524645
-18.258409768687056,1,-73.03363907474822,2.0117980405429613E-4,-0.001151773560560731,0.0011692558258654207,-58.64192914491486,-80.08946342789959,1.3671963543713794E-6,0.001082042277635375,-8.952138885108155E-5,0.001085903557769267,-4.741053347411117,7.410134484545149E-6,-51.30299064513897
-18.200940320384785,1,-72.80376128153914,2.8145741132939127E-4,-0.001075191267482573,0.001111460821037549,-59.08223788824898,-75.32805022292997,1.2353801520612217E-6,0.0012008078201611073,9.112427051600883E-5,0.0012044071167271154,4.3307284837910185,9.115194304790987E-6,-50.40314138275837
-18.198457730317767,1,-72.79383092127107,2.8467864047475056E-4,-0.0010717194039682792,0.0011089271126553597,-59.10208148222313,-75.12124251843241,1.2297587148461942E-6,0.0012047459534944103,9.963419758121306E-5,0.0012090336111325233,4.719377692715316,9.185253712963115E-6,-50.369770078815606
-18.14098828201553,1,-72.56395312806212,3.536276613782378E-4,-9.881064780152072E-4,0.001049518875342711,-59.5803377985851,-70.30570462147645,1.1015267474155907E-6,0.0012671166224281214,3.099571786158121E-4,0.0013046387236709043,13.738967683439885,1.0695016855349031E-5,-49.70861139792702
-18.138505691948502,1,-72.55402276779401,3.5634593477739453E-4,-9.843656099255205E-4,0.001046921577528698,-59.60188363823073,-70.0962527708832,1.0960860544350264E-6,0.001268412495222095,3.195275255759709E-4,0.0013082357120841564,14.133350033402937,1.075397457935263E-5,-49.68464944979985
