# COMSOL 6.4 angular-spectrum results, interpolated to a uniform 1 degree grid
# Angle is measured from the upward surface normal; positive is toward +x
# 2D_RCS_m is scattering width per unit out-of-plane length, not 3D RCS in m^2
angle_deg,Sang_real,Sang_imag,Sang_magnitude,Sang_dB,Sang_phase_deg,normalized_intensity,Escat_1m_real_Vpm,Escat_1m_imag_Vpm,Escat_1m_magnitude_Vpm,Escat_1m_phase_deg,RCS_2D_m,RCS_2D_dB_ref_1m
0,2.5111661898167302e-08,-1.668538136891656e-07,1.6873289752122035e-07,-135.45600471228755,-81.44116423924409,2.847079070590665e-14,0.00442620769668708,0.000485998899145687,0.0044528091699715545,6.2659926373283845,0.00012457991639464473,-39.04551964916017
1,-5.168060252474448e-06,5.7320843271311615e-06,7.717877785152403e-06,-102.2500420578013,132.03789222798338,5.956563750654896e-11,-0.0038015326503840798,-0.0002865524389118229,0.0038123172470536236,-175.68930296336293,9.131832483387457e-05,-40.39442063915019
2,6.762501759491937e-06,-7.392094153629376e-06,1.001870680393698e-05,-99.9837666555223,-47.546821254696056,1.0037448602325315e-10,0.002180286980191284,0.0002378251771589467,0.0021932195810913037,6.225197693046298,3.022345418517676e-05,-45.19655902411465
3,-2.2253004861053078e-06,2.310699485166032e-06,3.2080047325724264e-06,-109.87529999398832,133.92142322298713,1.0291294364207085e-11,0.00017822801375036142,-0.0003240242157590421,0.0003698065944296576,-61.18721131097741,8.592690533318743e-07,-60.65870829088727
4,-5.491723187030958e-06,6.290479347183809e-06,8.350398432429407e-06,-101.5658560403225,131.12165572461416,6.972915398031949e-11,-0.0025517345922075963,0.0004644025175102145,0.002593649769598566,169.68535621035252,4.226710774201052e-05,-43.73997469101667
5,9.872911202466094e-06,-1.1178122951503867e-05,1.491391324672093e-05,-96.52816775002464,-48.54792621451738,2.2242480833071803e-10,0.004356887765290504,-0.0005554575905273992,0.0043921525627205376,-7.265418376187368,0.00012120895373682519,-39.164652975388115
6,-5.971505859427858e-06,6.680079035835457e-06,8.96004119154536e-06,-100.95379987546346,131.79440293756,8.02823381541896e-11,-0.005182181786781718,0.0004838783670867889,0.005204723464833337,174.6655605412933,0.00017020612630137155,-37.690248122244206
7,-4.9971620154540064e-06,6.0275757896915014e-06,7.829642272107422e-06,-102.12516159868484,129.66043116599562,6.130329810917148e-11,0.004730555520906788,-0.00017414608031223648,0.004733759858048337,-2.108279190464665,0.00014079664733209862,-38.51407686546924
8,1.4631529964409897e-05,-1.7348415264537116e-05,2.2694695003243578e-05,-92.88151298836172,-49.855954773092016,5.15049181290249e-10,-0.002887271934153188,-0.00037783599676171774,0.0029118892942894673,-172.544489626328,5.327575190235731e-05,-42.73470412195828
9,-1.226904206465682e-05,1.453819743142345e-05,1.902336925308884e-05,-94.41425124277956,130.1616117157493,3.6188857773936585e-10,-0.0001263181382530177,0.0010253854323009769,0.0010331367561106175,97.02293372595695,6.706493283155359e-06,-51.73504506040877
10,-3.429015575164421e-06,4.546732777048517e-06,5.6948157793389155e-06,-104.89040640557153,127.02255193989487,3.24309267606075e-11,0.0033397076059653377,-0.0015288791395433126,0.0036730257713053728,-24.59775360801707,8.476719638474387e-05,-40.71772180588951
11,2.0732484650981908e-05,-2.6098628650413494e-05,3.333128166205711e-05,-89.54295972855519,-51.536728969084244,1.1109743372353846e-09,-0.005855087602512637,0.001716357702788609,0.006101469871843913,163.66205267639177,0.00023391001167663222,-36.3095118937997
12,-2.2340454967672175e-05,2.8300499852045836e-05,3.605570995055062e-05,-88.86051897192885,128.28761267217186,1.3000142200382349e-09,0.006890741379570005,-0.0014564682188957642,0.007042983489457557,-11.934716995980247,0.0003116687139533633,-35.063067910480164
13,-1.826419380068771e-07,8.715427681599852e-07,8.904745219549393e-07,-121.00757003906635,101.83572205301203,7.929448742508777e-13,-0.005845136557937092,0.0007233359793101596,0.00588972294084342,172.94550915999568,0.00021795638668833603,-36.616304005033136
14,3.3028762293750397e-05,-4.481784965306818e-05,5.567350165188185e-05,-85.08702924719906,-53.61143634632687,3.0995387861820912e-09,0.0025409439647692614,0.0003555249706839298,0.002565695663339115,7.965028346712624,4.1360916029332916e-05,-43.8340985139189
15,-4.1671472129267717e-05,5.710040587627043e-05,7.068923497007981e-05,-83.0129343687745,126.12170339838369,4.996967940655154e-09,0.002308673899342331,-0.001414089849183089,0.0027073280693457108,-31.487958183087688,4.6053393835434196e-05,-43.36738359610652
16,4.569961204302632e-06,-5.269640102149983e-06,6.975217001285225e-06,-103.1288455360127,-49.06736844451373,4.865365221501844e-11,-0.0067969923393551325,0.0020479967265543625,0.0070988305694128055,163.2319594644464,0.0003166310418906236,-34.99446510001323
17,5.7036396847127955e-05,-8.45875749109174e-05,0.0001020206272996453,-79.82624020854186,-56.00868002843194,1.0408208394613132e-08,0.00919116525772755,-0.0021160722880218335,0.009431610717316099,-12.965222460236534,0.0005589225128347381,-32.52648397088357
18,-8.058734910039112e-05,0.00012146838716824348,0.00014576998976566683,-76.72663753417231,123.5620055618861,2.124888991628261e-08,-0.00814085032405074,0.0017132365360499869,0.008319172039755735,168.11556551643744,0.00043485060584698806,-33.616599205167205
19,8.750868471838304e-06,-1.125932516758855e-05,1.4260087736087271e-05,-96.91755604903602,-52.145264894502134,2.033501022409066e-10,0.0032681224641875352,-0.0011229061997749242,0.0034556537405272783,-18.962397057201432,7.503092610529337e-05,-41.24759693028225
20,0.00013112031508546377,-0.00021602372037068967,0.0002527029576219978,-71.94779350181568,-58.743428272241054,6.385878479090522e-08,0.0041559121539010415,0.0005741479303087311,0.004195384568406118,7.865741749822101,0.00011059192592376667,-39.56276578770502
21,-0.00018157131887904838,0.00030743336481976887,0.00035704820072909226,-68.94546302242676,120.5662609953968,1.2748341764388216e-07,-0.010443793586341895,8.550305833248705e-05,0.010444143586101271,179.53093146773867,0.0006853707030897428,-31.64074463895643
22,-1.3454014468811562e-05,2.7975516859238327e-05,3.1042552228650895e-05,-90.16085159025322,115.6838799658695,9.636400488685187e-10,0.011866991744494331,-0.0014875584187747214,0.011959863005618592,-7.144907879473401,0.0008987362901482392,-30.46367721541891
